LEGEND:,Unnamed: 0,Unnamed: 1,#,Name (known as),Charity?,Charity #,Charity,Org.,Affiliate of,City,Prov.,Other Names,Website and Social Media,Sex Ed Programs,Other Names Website and Social Media,Name (known as) Charity?
,,,,,,,,,,,,Life & Education,www.facebook.com/princegeorgepregnanc,(Sexual health and intimacy for teens),,
,,,,,,,,,,,,Services Society,yservices/,but website no longer available as of Oct,,
,,,,,,,,,,,,,,2022,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,twitter @HopeForWomen (inactive since,,,
,,,,,,,,,,,,,2019),,,
,,,125.0,Hop e for Women,Y,133318832.0,Poverty,CPC,Christian,Prince George,BC,Prince George,www.hopeforwomen.ca,Used to teach SHIFT www.shiftbc.ca/,,
,,,,,,,,,,,,Pregnancy Care,www.facebook.com/princegeorgepregnanc,(Sexual health and intimacy for teens),,
,,,,,,,,,,,,Centre / Run by,yservices/,but website no longer available as of Oct,,
,,,,,,,,,,,,Advokate Life &,twitter @HopeForWomen,2022,,
,,,,,,,,,,,,,www.instagram.com/hope_for_women/?h,,,
,,,,,,,,,,,,Education Services,l=en,,,
,,,,,,,,,,,,Society,,,,
,,,126.0,Hop e Pregnancy &,Y,895406643.0,Community,CPC,PCC / Heartbeat,Brantford,ON,Pregnancy &,www.hope-centre.com/,,,
,,,,Family Support Centre,,,"Org.,",,Int’l / Evangelical,,,Resource Centre,www.facebook.com/PRCBrant/,,,
,,,,,,,Resource,,,,,Brant / Living Hope,https://twitter.com/prcbrant,,,
,,,,,,,,,,,,Pregnancy &,www.youtube.com/results?search_query=,,,
,,,,,,,,,,,,,prcbrant,,,
,,,,,,,,,,,,Resource Centre /,,,,
,,,,,,,,,,,,Brantford/Brant,,,,
,,,,,,,,,,,,County Crisis,,,,
,,,,,,,,,,,,Pregnancy Centre,,,,
,,,127.0,Hop e Pregnancy Support,Y,811292390.0,Community,CPC,PCC / Heartbeat,Parry Sound,ON,,https://parrysoundhope.com/,,,
,,,,Centre,,,"Org., Health",,Int’l/Care Net /,,,,www.facebook.com/HOPEPregnancySuppo,,,
,,,,,,,,,Evangelical,,,,rtCentre/,,,
,,,,,,,,,,,,,https://twitter.com/pregnancy_hope,,,
,,,,,,,,,,,,,www.instagram.com/parrysoundhope/,,,
,,,128.0,Hop ewell Clinic &,Y,856145594.0,Religion,CPC,PCC / Heartbeat,Kamloops,BC,Pregnancy Care,www.hopewellkamloops.ca/,,,
,,,,Pregnancy Centre Society,,,,,Int’l / Care Net /,,,Centre / Pregnancy,www.facebook.com/Pregnancycarekamloo,,,
,,,,,,,,,Evangelical,,,Care Centre Society,ps/,,,
,,,,,,,,,,,,of Kamloops /,https://twitter.com/CareKamloops,,,
,,,,,,,,,,,,Kamloops,,,,
,,,,,,,,,,,,Pregnancy Care,,,,
,,,,,,,,,,,,Centre,,,,
,,,129.0,Hou se of Grace,N,,Religion,CPC,PCC,Duncan,BC,Associated with,www.houseofgrace.ca/,,,
,,,,Pregnancy Centre,,,,,,,,New Life,https://newlifechurch.ca/,,,
,,,,,,,,,,,,Community Baptist,,,,
,,,,,,,,,,,,Church,,,,
,,,130.0,Ing ersoll Right to Life,N,,,Advocacy,Alliance for Life,Ingersoll,ON,,https://allianceforlifeontario.ca/ingersoll-,,,
,,,,,,,,,Ont.,,,,right-to-life/,,,
,,,131.0,Isla nd Pregnancy Care &,Y,802595157.0,Religion,CPC,PCC / Care Net /,Charlottetown,PE,Island Pregnancy,www.islandpregnancycentre.com,,,
,,,,Support Services Inc.,,,,,Evangelical,,,Centre,www.facebook.com/Island-Pregnancy-,,,
,,,,,,,,,,,,,Centre-219080438117714/,,,
,,,,,,,,,,,,,www.instagram.com/islandpregnancycentr,,,
,,,,,,,,,,,,,e/?hl=en,,,
,,,132.0,Isla nd Pregnancy Care &,Y,802595157.0,Religion,CPC,PCC / Care Net /,Summerside,PE,Island Pregnancy,www.islandpregnancycentre.com,,,
,,,,Support Services Inc.,,,,,Evangelical,,,Centre,www.facebook.com/Island-Pregnancy-,,,
,,,,,,,,,,,,,Centre-219080438117714/,,,
,,,,,,,,,,,,,www.instagram.com/islandpregnancycentr,,,
,,,,,,,,,,,,,e/?hl=en,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,133.0,Jew els for Jesus,Y,118974096.0,Poverty,Adoption,,Mississauga,ON,Affiliated with JFJ,https://jfjhopecentre.ca/adoption/,,,
,,,,Adoption Agency Inc.,,,,,,,,"Hope Centre, but",,,,
,,,,,,,,,,,,different CRA #,,,,
,,,134.0,JFJ  Hope Centre,Y,118974104.0,Poverty,CPC,PCC / Heartbeat,Mississauga,ON,Jewels for Jesus,www.jfjhopecentre.ca,"Used to run this, but no longer on",,
,,,,,,,,,Int’l / Care Net /,,,Mission Inc.,www.facebook.com/JFJ-Hope-Centre-,website: Relationship Compass in,,
,,,,,,,,,Evangelical,,,,378942612153466/,schools.,,
,,,,,,,,,,,,,https://twitter.com/JFJHopeCentre,https://jfjhopecentre.ca/education/,,
,,,,,,,,,,,,,www.instagram.com/jfjhopecentre/,,,
,,,,,,,,,,,,,,Catholic and Christian schools,,
,,,135.0,Jus tice Centre for,Y,817174865.0,Community,Advocacy,,Calgary,AB,,www.jccf.ca/,They are developing a high school,,
,,,,Constitutional Freedoms,,,"Org., Human",,,,,,,curriculum on the Canadian Charter of,,
,,,,,,,Rights,,,,,,,"Rights and Freedoms, not sex ed",,
,,,136.0,Kam loops Pro-life Society,Y,118977230.0,Poverty,Advocacy,Christian /,Kamloops,BC,Voices 4 Life,www.voices4life.com/,Offers a video for schools: “The Biology,,
,,,,,,,,,Catholic?,,,,www.facebook.com/kamloopsprolife,of Prenatal Development is,,
,,,,,,,,,,,,,www.instagram.com/kamloopsprolifesocie,recommended for use in middle and,,
,,,,,,,,,,,,,ty,"high school health and biology courses,",,
,,,,,,,,,,,,,,introductory college- and graduate-level,,
,,,,,,,,,,,,,,"human embryology courses, and",,
,,,,,,,,,,,,,,prenatal care classes.”,,
,,,,,,,,,,,,,,www.voices4life.com/life-in-the-womb/,,
,,,137.0,Kaw artha Lakes,Y,893809293.0,Poverty,CPC,PCC / Heartbeat,Lindsay,ON,Lindsay Crisis,www.klpcentre.ca,,,
,,,,Pregnancy Centre,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/klpcentre/,,,
,,,,,,,,,Evangelical,,,,www.instagram.com/kawarthalakespregna,,,
,,,,,,,,,,,,,ncycentre/?hl=en,,,
,,,138.0,Kel owna Right to Life,Y,118978865.0,Poverty,Advocacy,LifeCanada,Kelowna,BC,Originally” Voice of,https://lifecanada.org/kelowna/,,,
,,,,Society,,,,,Christian,,,the Unborn”,www.facebook.com/Kelowna-Right-to-Life-,,,
,,,,,,,,,,,,,Society-100238543467038/,,,
,,,,,,,,,,,,,twitter @ktownright2life,,,
,,,,,,,,,,,,,www.youtube.com/channel/UCN7LgRsbTs,,,
,,,,,,,,,,,,,vSbk1CSM2y8pw/channels,,,
,,,139.0,Kin cardine Right to Life,Y,118981240.0,Poverty,Advocacy,Alliance for Life,Kincardine,ON,Kincardine &,www.facebook.com/kincardinerighttolife/,,,
,,,,,,,,,Ont.,,,District Right to Life,,,,
,,,,,,,,,,,,Group,,,,
,,,140.0,Kirk land Lake Pro-Life,N,,,Advocacy,Alliance for Life,Kirkland Lake,ON,,www.klprolife.com/,,,
,,,,,,,,,Ont.,,,,,,,
,,,141.0,Kitc hener-Waterloo &,Y,107896599.0,Poverty,Advocacy,,Kitchener-,ON,The Right to Life,www.kwrtl.ca/,,,
,,,,Area Right to Life,,,,,,Waterloo,,Association of,,,,
,,,,Association,,,,,,,,Kitchener-Waterloo,,,,
,,,,,,,,,,,,and Area,,,,
,,,142.0,La R oseliere,Y,836175166.0,Poverty,CPC,,Québec,QC,,https://laroseliere.org/,"They do presentations in schools,",,
,,,,,,,,,,,,,www.facebook.com/RoseliereGrossesseIm,secondary and college level.,,
,,,,,,,,,,,,,prevue/,https://laroseliere.org/nos-,,
,,,,,,,,,,,,,www.youtube.com/channel/UCMoCaxsvW,services/formation-et-,,
,,,,,,,,,,,,,-H0KKy3Fa1x-rQ/videos,,,
,,,,,,,,,,,,,www.instagram.com/laroselieregrossessei,ressourcement/clientele-etudiante/,,
,,,,,,,,,,,,,mprev/,“Our workshops fit very well into the,,
,,,,,,,,,,,,,,detailed content of sexuality education,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,in the fifth secondary produced by the,,
,,,,,,,,,,,,,,Ministry of Education and Higher,,
,,,,,,,,,,,,,,Education”,,
,,,143.0,Lam bton Crisis,Y,135676872,Poverty,CPC,PCC / Heartbeat,Sarnia,ON,The Pregnancy,www.pregnancycentre.org,,,
,,,,Pregnancy Centre,,,,,Int’l / Care Net /,,,Options & Support,www.facebook.com/ThePregnancyOptions,,,
,,,,,,,,,Evangelical,,,Centre,AndSupportCentre/,,,
,,,,,,,,,,,,(Petrolia branch,www.facebook.com/HeartsHopeHealing,,,
,,,,,,,,,,,,,www.instagram.com/pregnancyoptionssup,,,
,,,,,,,,,,,,was closed),portsarnia/,,,
,,,,,,,,,,,,,www.youtube.com/watch?v=-,,,
,,,,,,,,,,,,,T1MHXmqyVw,,,
,,,144.0,Lam bton Right to Life,Y,107594277,Poverty,Advocacy,Alliance for Life,Sarnia,ON,Runs maternity,http://lambtonrighttolife.org/,“We gather pro-life resources in our,,
,,,,,,,,,Ont.,,,home: Gianna,,office that are available to the,,
,,,,,,,,,,,,Home for Life &,,community – individuals as well as,,
,,,,,,,,,,,,Family.,,schools and other organizations. We,,
,,,,,,,,,,,,,,"have tapes, slides, literature and fetal",,
,,,,,,,,,,,,,,"models and are prepared to visit schools,",,
,,,,,,,,,,,,,,"churches, and societies by invitation.”",,
,,,145.0,Let hbridge & District Pro-,Y,119018307,Poverty,Advocacy,Works with,Lethbridge,AB,,www.lifelethbridge.org,“Providing schools and Homeschooled,,
,,,,life Association,,,,,Knights of,,,,,families with education resources”,,
,,,,,,,,,Columbus,,,,,,,
,,,146.0,Let hbridge Pregnancy,Y,805840337,Community,CPC,PCC / Evangelical,Lethbridge,AB,,www.lethbridgepregcentre.com,,,
,,,,Care Centre,,RR0002,"Org., Health",,,,,,www.facebook.com/pages/Lethbridge-,,,
,,,,,,,,,,,,,Pregnancy-Care-,,,
,,,,,,,,,,,,,Centre/439520856132151,,,
,,,,,,,,,,,,,https://twitter.com/lethpregcentre,,,
,,,,,,,,,,,,,www.instagram.com/lethbridgepregcentre,,,
,,,,,,,,,,,,,/,,,
,,,147.0,Life  Centre (The),Y,894249770,Poverty,CPC,PCC / Heartbeat,Newmarket,ON,Legal name:  Life Is,www.tlcthelifecentre.ca,,,
,,,,,,,,,Int’l / Care Net /,,,for Everyone Crisis,www.facebook.com/TLCTheLifeCentre,,,
,,,,,,,,,Evangelical,,,Pregnancy Centre,www.instagram.com/tlcthelifecentre.ca/,,,
,,,,,,,,,,,,(Newmarket) Inc. /,,,,
,,,,,,,,,,,,TLC Pregnancy,,,,
,,,,,,,,,,,,Centre,,,,
,,,148.0,Life  Compass Society,N,,,Advocacy,LifeCanada,Coquitlam,BC,,https://lifecanada.org/lifecompass/,Nothing specifically on sex-ed. Uses Life,,
,,,,,,,,,,,,,www.facebook.com/Life-Compass-,Canada Kids. (See LifeCanada National,,
,,,,,,,,,,,,,Society-764898846981082/,Assoc),,
,,,149.0,Life  Culture Canada Inc.,Y,119010163,Poverty,Advocacy,,Steinbach,MB,Life's Vision,www.lifeculture.ca/,They “teach life-affirming education” but,,
,,,,,,,,,,,,Manitoba Inc. /,www.facebook.com/LifeCulture.ca/,don’t say where or how.,,
,,,,,,,,,,,,League for Life,www.instagram.com/lifeculture.ca/,,,
,,,,,,,,,,,,,https://twitter.com/lifecultureca,,,
,,,,,,,,,,,,,Also runs these 2 websites:,,,
,,,,,,,,,,,,,www.generationlife.ca,,,
,,,,,,,,,,,,,https://angelbaby.ca/,,,
,,,150.0,Life  in Motion,N,,,Advocacy,,Chatham,ON,Run by Right to Life,https://lifeinmotionchatham.ca/,,,
,,,,,,,,,,,,Kent,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,151.0,Life  Wood Buffalo,N,,,Advocacy,LifeCanada,Wood Buffalo,AB,,https://lifecanada.org/lifewood/,,,
,,,,Society,,,,,,,,,www.facebook.com/profile.php?id=10003,,,
,,,,,,,,,,,,,2983106337,,,
,,,152.0,Life ’s Vision Brandon,N,,,Advocacy,LifeCanada,Brandon,MB,,https://lifesvisionbrandon.weebly.com/,Presentations given to school and youth,,
,,,,,,,,,,,,,www.facebook.com/ManitobaYouthForLife,groups,,
,,,,,,,,,,,,,(not updated since 2016),,,
,,,153.0,Life Canada National,Y,119282176.0,Poverty,Advocacy,,West Vancouver,BC,LifeCanada,https://lifecanada.org/,Nothing specifically on sex-ed,,
,,,,Association,,,,,,,,Life Collective,,https://lifecanada.org/our-work/,,
,,,,,,,,,,,,,,"They have “LifeCanada Kids”, an",,
,,,,,,,,,,,,,,“initiative that brings pro-life education,,
,,,,,,,,,,,,,,to children and youth. Our resources,,
,,,,,,,,,,,,,,help parents and grandparents guide,,
,,,,,,,,,,,,,,"their kids through life issues, to cultivate",,
,,,,,,,,,,,,,,wisdom and virtue.”,,
,,,154.0,Life SiteNews.com,N,,,Advocacy,,Toronto,ON,,www.LifeSiteNews.com,,,
,,,155.0,Lin dsay Right to Life,Y,119242220.0,Poverty,Advocacy,Alliance for Life,Lindsay,ON,,https://allianceforlifeontario.ca/lindsay-,,,
,,,,Organization (The),,,,,Ont.,,,,right-to-life/,,,
,,,156.0,List owel and District,N,,,Advocacy,Alliance for Life,Listowel,ON,,www.facebook.com/listowel.right.to.life/,,,
,,,,Right to Life,,,,,Ont.,,,,,,,
,,,157.0,Lon don Against Abortion,N,,,Advocacy,CCBR (trained by),London,ON,,CCBR: www.endthekilling.ca,,,
,,,,,,,,,,,,,https://londonagainstabortion.wordpress.c,,,
,,,,,,,,,,,,,om/,,,
,,,,,,,,,,,,,www.facebook.com/LondonAgainstAbortio,,,
,,,,,,,,,,,,,n/,,,
,,,,,,,,,,,,,https://twitter.com/LdnAntiAbortion,,,
,,,,,,,,,,,,,www.instagram.com/londonagainstabortio,,,
,,,,,,,,,,,,,n/,,,
,,,158.0,Lon don Area Right to Life,Y,107641573.0,Poverty,Advocacy,Alliance for Life,London,ON,,http://right2life.ca/ (website under,,,
,,,,Association Inc.,,,,,Ont.,,,,construction),,,
,,,,,,,,,,,,,www.facebook.com/LondonRightToLife/,,,
,,,159.0,Lon don Pregnancy and,Y,135875649.0,Poverty,CPC,PCC / Heartbeat,London,ON,London Crisis,www.notalone.ca,Sex. Think. Decide. One-hour interactive,,
,,,,Family Support Centre,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/LPFSC/,PowerPoint presentation. (Doesn’t,,
,,,,,,,,,Evangelical,,,[name change],https://twitter.com/lonpfsc,specify public/religious schools or,,
,,,,,,,,,,,,,,grade/age of target audience... but,,
,,,,,,,,,,,,,,testimonies are from grade 7-8 teachers),,
,,,,,,,,,,,,,,https://lonpfsc.com/schools/,,
,,,,,,,,,,,,,,Resources for educators:,,
,,,,,,,,,,,,,,https://lonpfsc.com/educators/,,
,,,160.0,Lov e4Life,Y,119282176.0,Poverty,CPC,,West Vancouver,BC,Abortionincanada.c,https://love4life.ca/,,,
,,,,,,,,,,,,a,,,,
,,,161.0,Lut herans for Life –,N,,,Advocacy,Alliance for Life,St. Catharines,ON,,http://lutheransforlife-canada.ca/,,,
,,,,Canada,,,,,Ont.,,,,,,,
,,,162.0,Ma cklin Denzil Pro-life,Y,119027258.0,Poverty,Advocacy,Saskatchewan Pro-,Cactus Lake,SK,Macklin Pro-life,www.saskprolife.com/macklindenzilprolife,,,
,,,,Association,,,,,Life,,,Association,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,163.0,Ma insprings Pregnancy,Y,118823442.0,Poverty,CPC,Christian,Airdrie,AB,Formerly: Calgary,www.pregcare.com,“Take Charge” (school),,
,,,,and Family Support,,,,,,,,Pregnancy Care,,www.pregcare.com/sexual-health-,,
,,,,Association,,,,,,,,Centre Association,,education/,,
,,,,,,,,,,,,,,www.pregcare.com/education,,
,,,164.0,Ma insprings Pregnancy,Y,118823442.0,Poverty,CPC,Christian,Calgary,AB,Formerly: Calgary,www.pregcare.com,“Take Charge” (school),,
,,,,and Family Support,,,,,,,,Pregnancy Care,,www.pregcare.com/sexual-health-,,
,,,,Association,,,,,,,,Centre Association,,education/,,
,,,,,,,,,,,,,,www.pregcare.com/education,,
,,,165.0,Ma insprings Pregnancy,Y,118823442.0,Poverty,CPC,Christian,Strathmore,AB,Formerly: Calgary,www.pregcare.com,“Take Charge” (school),,
,,,,and Family Support,,,,,,,,Pregnancy Care,,www.pregcare.com/sexual-health-,,
,,,,Association,,,,,,,,Centre Association,,education/,,
,,,166.0,Ma rkham/Stouffville,Y,888451861.0,Poverty,CPC,PCC / Heartbeat,Markham,ON,The Crisis,https://mscpc.org/,Offers community education,,
,,,,Crisis Pregnancy Centre,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/mscpregcentre,https://mscpc.org/be-,,
,,,,Inc.,,,,,Evangelical,,,,www.instagram.com/mscpregcentre/,involved/#community-education,,
,,,,,,,,,,,,,,"Community workshops, topics include",,
,,,,,,,,,,,,,,"hygiene, finance, nutrition, relationships,",,
,,,,,,,,,,,,,,and more.,,
,,,167.0,Ma tercare International,Y,874266943.0,Community,Advocacy,Catholic Church,St. John’s,NL,Matercare,www.matercare.org,,,
,,,,(Canada) Incorporated,,,"Org., Health",,,,,International,,,,
,,,,,,,,,,,,(Catholic Ob/Gyns),,,,
,,,168.0,Me a Centre: Pregnancy,Y,139137020.0,Poverty,CPC,PCC / Heartbeat,Kingston,ON,Kingston Crisis,www.meacentre.ca/,"R.S.V.P. Relationships, Sexuality, Value,",,
,,,,Support Services,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/MeaCentre,Power; “workshops by trained,,
,,,,,,,,,Evangelical,,,Inc.,www.instagram.com/meacentre/,presenters are offered free of charge”,,
,,,,,,,,,,,,,,https://meacentre.ca/community-,,
,,,,,,,,,,,,,,education,,
,,,,,,,,,,,,,,“All school presentations are a result of a,,
,,,,,,,,,,,,,,teacher’s request or school’s invitation”,,
,,,,,,,,,,,,,,Grades 7-12. Abstinence-based.,,
,,,,,,,,,,,,,,“our curriculum is available by request,,
,,,,,,,,,,,,,,for anyone wishing to understand what,,
,,,,,,,,,,,,,,it is will cover in the classroom.”,,
,,,169.0,Me a Centre: Pregnancy,Y,139137020.0,Poverty,CPC,PCC / Heartbeat,Napanee,ON,Kingston Crisis,www.meacentre.ca/,"R.S.V.P. Relationships, Sexuality, Value,",,
,,,,Support Services,,,,,Int’l / Care Net /,,,Pregnancy Centre,www.facebook.com/MeaCentre,Power; “workshops by trained,,
,,,,,,,,,Evangelical,,,Inc.,www.instagram.com/meacentre/,presenters are offered free of charge”,,
,,,,,,,,,,,,,,https://meacentre.ca/community-,,
,,,,,,,,,,,,,,education,,
,,,,,,,,,,,,,,“All school presentations are a result of a,,
,,,,,,,,,,,,,,teacher’s request or school’s invitation”,,
,,,,,,,,,,,,,,Grades 7-12. Abstinence-based.,,
,,,,,,,,,,,,,,“our curriculum is available by request,,
,,,,,,,,,,,,,,for anyone wishing to understand what,,
,,,,,,,,,,,,,,it is will cover in the classroom.”,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,170.0,Me lo Clinic & Pregnancy,Y,134414176.0,Poverty,CPC,PCC / Heartbeat,Leamington,ON,Formerly,http://pregnancycentre.net,Sexual Health And Relationships,,
,,,,Centre,,,,,Int’l / Care Net /,,,Sunparlour,www.facebook.com/SunParlour-,Education,,
,,,,,,,,,Evangelical,,,Pregnancy &,Pregnancy-and-Resource-Centre-,Let’s Talk About Sex...,,
,,,,,,,,,,,,Resource Centre,379177242117071/,https://pregnancycentre.net/school-,,
,,,,,,,,,,,,,,and-community-education/,,
,,,,,,,,,,,,,,“Our instructors can come to your school,,
,,,,,,,,,,,,,,or community building for presentations.,,
,,,,,,,,,,,,,,Our presentations are 100% free to,,
,,,,,,,,,,,,,,schools” (doesn’t specify,,
,,,,,,,,,,,,,,"public/religious, or target audience)",,
,,,171.0,Me lo Clinic & Pregnancy,Y,134414176.0,Poverty,CPC,PCC / Heartbeat,Windsor,ON,Formerly,http://pregnancycentre.net,Sexual Health And Relationships,,
,,,,Centre,,,,,Int’l / Care Net /,,,Sunparlour,www.facebook.com/SunParlour-,Education,,
,,,,,,,,,Evangelical,,,Pregnancy &,Pregnancy-and-Resource-Centre-,Let’s talk about sex...,,
,,,,,,,,,,,,Resource Centre,379177242117071/,https://pregnancycentre.net/school-,,
,,,,,,,,,,,,,,and-community-education/,,
,,,,,,,,,,,,,,“Our instructors can come to your school,,
,,,,,,,,,,,,,,or community building for presentations.,,
,,,,,,,,,,,,,,Our presentations are 100% free to,,
,,,,,,,,,,,,,,schools” (doesn’t specify,,
,,,,,,,,,,,,,,"public/religious, or target audience)",,
,,,172.0,Mir iam Centre for,Y,876121625.0,Community,CPC,,Orléans (2742,ON,Centre Miriam,https://miriamcentre.ca/,,,
,,,,Mothers in Need,,,"Org.,",,,St. Joseph Blvd.),,,,,,
,,,,Foundation / La,,,Foundations,,,,,,,,,
,,,,fondation du centre,,,,,,,,,,,,
,,,,Miriam pour meres dans,,,,,,,,,,,,
,,,,le besoin,,,,,,,,,,,,
,,,173.0,Mir iam Centre For,Y,119042091.0,Poverty,CPC,,Orléans (1803,ON,Miriam Centre,https://miriamcentre.ca/,,,
,,,,Mothers in Need of,,,,,,St. Joseph Blvd.),,,,,,
,,,,Ottawa Carleton Inc.,,,,,,,,,,,,
,,,174.0,Mo ose Jaw Right to Life,Y,119045649.0,Poverty,Advocacy,LifeCanada,Moose Jaw,SK,,http://moosejawrighttolife.ca/,,,
,,,,,,,,,(Catholic Women’s,,,,,,,
,,,,,,,,,League and,,,,,,,
,,,,,,,,,Knights of,,,,,,,
,,,,,,,,,Columbus provide,,,,,,,
,,,,,,,,,financial support),,,,,,,
,,,175.0,My  Canada Association,N,,,Advocacy,,Grimsby,ON,,http://4mycanada.ca/wp/,,,
,,,176.0,Nat ional Campus Life,N,,,Advocacy,,Toronto,ON,,www.ncln.ca,,,
,,,,Network,,,,,,,,,,,,
,,,177.0,Nat ional March for Life,N,,,Advocacy,Campaign Life,Ottawa,ON,,www.marchforlife.ca/,,,
,,,,,,,,,Coalition,,,,www.facebook.com/MarchforLifeCanada/,,,
,,,,,,,,,,,,,https://twitter.com/CampaignLife,,,
,,,,,,,,,,,,,www.youtube.com/channel/UCTO7pYzIIP8,,,
,,,,,,,,,,,,,u6ApRHtCsI6g,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,178.0,Nes ting Place Society,Y,889587267.0,Poverty,CPC,PCC / Evangelical,Courtenay,BC,Comox Valley,www.nestingplacesociety.com,,,
,,,,,,,,,,(Comox),,Pregnancy Care,,,,
,,,,,,,,,,,,Centre,,,,
,,,179.0,New  Brunswick Right to,Y,891337990.0,Poverty,Advocacy,,Fredericton,NB,Runs Women’s Care,www.facebook.com/NBRightToLife/,,,
,,,,Life Association Inc. /,,,,,,,,Centre,,,,
,,,,Association Pour Le,,,,,,,,,,,,
,,,,Droit-A La Vie Du N B Inc.,,,,,,,,,,,,
,,,180.0,Nia gara Against Abortion,N,,,Advocacy,CCBR (trained by),Niagara region,ON,,CCBR: www.endthekilling.ca,,,
,,,,,,,,,,,,,www.facebook.com/niagaraagainstabortio,,,
,,,,,,,,,,,,,n,,,
,,,181.0,Nia gara Life Centre,Y,138724463.0,Community,CPC,,St. Catharines,ON,,http://niagaralifecentre.ca/,,,
,,,,,,,"Org., Health",,,,,,www.facebook.com/Niagara-Life-Centre-,,,
,,,,,,,,,,,,,385042381512/,,,
,,,,,,,,,,,,,https://twitter.com/niagaralifectr,,,
,,,,,,,,,,,,,www.instagram.com/niagaralifecentre/,,,
,,,182.0,Nia gara Region Right to,Y,889289245.0,Poverty,Advocacy,,Toronto,ON,,http://niagararegionrighttolife.ca/,,,
,,,,Life,,,,,,,,,,,,
,,,183.0,Nor folk Pregnancy,Y,823065370.0,Community,CPC,PCC / Heartbeat,Delhi,ON,,www.norfolkpc.org,,,
,,,,Centre Inc.,,,"Org., Health",,Int’l,,,,www.facebook.com/norfolkpregnancycent,,,
,,,,,,,,,https://twitter.co,,,,re,,,
,,,,,,,,,m/ReproJustice_H,,,,www.instagram.com/norfolkpc/,,,
,,,,,,,,,N/status/1629459,,,,,,,
,,,,,,,,,996734783488,,,,,,,
,,,,,,,,,Funded by United,,,,,,,
,,,,,,,,,Way of Haldimand,,,,,,,
,,,,,,,,,and Norfolk (Aug,,,,,,,
,,,,,,,,,2017).,,,,,,,
,,,,,,,,,https://twitter.co,,,,,,,
,,,,,,,,,m/ReproJustice_H,,,,,,,
,,,,,,,,,N/status/9713542,,,,,,,
,,,,,,,,,82128650240/pho,,,,,,,
,,,,,,,,,to/1,,,,,,,
,,,184.0,Nor folk Pregnancy,Y,823065370.0,Community,CPC,PCC / Heartbeat,Simcoe,ON,,www.norfolkpc.org,,,
,,,,Centre Inc.,,,"Org., Health",,Int’l,,,,www.facebook.com/norfolkpregnancycent,,,
,,,,,,,,,,,,,re,,,
,,,,,,,,,,,,,www.instagram.com/norfolkpc/,,,
,,,185.0,Nor th Bay Pregnancy,Y,774536338.0,Community,CPC,Pro-Cathedral of,North Bay,ON,,www.facebook.com/pages/category/Charit,,,
,,,,Help and Resource,,,"Org., Health",,the Assumption,,,,y-Organization/North-Bay-Pregnancy-,,,
,,,,,,,,,,,,,Help-and-Resource-Centre-NBPHRC-,,,
,,,,Centre,,,,,,,,,102473048203500/,,,
,,,186.0,Nor th Bay Right to Life,N,,,Advocacy,LifeCanada,North Bay,ON,,www.facebook.com/Right-to-LifePro-Vie-,,,
,,,,,,,,,Alliance for Life,,,,North-Bay-106970054185231,,,
,,,,,,,,,Ont.,,,,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,187.0,Nor th Peace Pregnancy,Y,869389940,Community,CPC,PCC / Heartbeat,Fort St. John,BC,,www.northpeacepregnancycare.ca,,,
,,,,Care Centre Society,,,"Org., Health",,Int’l / Care Net /,,,,www.facebook.com/NorthPeacePregnancy,,,
,,,,,,,,,Evangelical,,,,CareCentre/,,,
,,,,,,,,,,,,,www.instagram.com/np_pregnancy_care/,,,
,,,188.0,Nor th Shore Pro-Life,N,,,Advocacy,,North,BC,,www.northshoreprolife.org/,,,
,,,,Society,,,,,,Vancouver,,,https://en-,,,
,,,,,,,,,,,,,gb.facebook.com/groups/northshorep,,,
,,,,,,,,,,,,,rolife/ (private group),,,
,,,189.0,Nor theast Pregnancy,Y,131891517,Religion,CPC,Northeast,Melfort,SK,Run by Northeast,www.northeastpregnancyoptions.com/,,,
,,,,Options,,(church #),,,Christian,,,Christian Fellowship,www.facebook.com/NortheastPregnancyO,,,
,,,,,,,,,Fellowship,,,,ptions,,,
,,,,,,,,,,,,,www.instagram.com/nepregnancyoptions/,,,
,,,190.0,Nov a Scotians United for,Y,119063501,Poverty,Advocacy,LifeCanada,Halifax,NS,Associated with,https://lifecanada.org/nova-scotia,,,
